batter,stand,if_fielding_alignment,of_fielding_alignment,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,wOBA,wOBA_Denom,ISO,batter_name,if_fielding_depth,of_fielding_depth
663604,R,Strategic,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Marte,Ketel","Suárez,Eugenio","Perdomo,Geraldo","Gurriel,Lourdes","Mccarthy,Jake","Carroll,Corbin",0.0,1,0,"Lockridge,Brandon",0,1
642180,L,Strategic,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Marte,Ketel","Suárez,Eugenio","Perdomo,Geraldo","Gurriel,Lourdes","Mccarthy,Jake","Carroll,Corbin",0.0,1,0,"Wade,Tyler",0,1
606466,L,Infield shade,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.0,1,0,"Marte,Ketel",0,1
672695,L,Infield shade,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.0,1,0,"Perdomo,Geraldo",0,1
672515,R,Standard,Standard,"Waldron,Matt","Díaz,Elías","Solano,Donovan","Cronenworth,Jake","Wade,Tyler","Ahmed,Nick","Peralta,David","Merrill,Jackson","Lockridge,Brandon",0.0,1,0,"Moreno,Gabriel",1,1
553869,R,Standard,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Marte,Ketel","Suárez,Eugenio","Perdomo,Geraldo","Gurriel,Lourdes","Mccarthy,Jake","Carroll,Corbin",0.0,1,0,"Díaz,Elías",1,1
605113,R,Standard,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Marte,Ketel","Suárez,Eugenio","Perdomo,Geraldo","Gurriel,Lourdes","Mccarthy,Jake","Carroll,Corbin",0.9,1,0,"Ahmed,Nick",1,1
701538,L,Standard,Standard,"Nelson,Ryne","Moreno,Gabriel","Walker,Christian","Marte,Ketel","Suárez,Eugenio","Perdomo,Geraldo","Gurriel,Lourdes","Mccarthy,Jake","Carroll,Corbin",0.0,1,0,"Merrill,Jackson",1,1
650333,L,Standard,Standard,"Pfaadt,Brandon","Moreno,Gabriel","Walker,Christian","Marte,Ketel","Suárez,Eugenio","Perdomo,Geraldo","Gurriel,Lourdes","Mccarthy,Jake","Carroll,Corbin",1.25,1,1,"Arráez,Luis",1,1
645277,R,Standard,Standard,"Bubic,Kris","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.0,1,0,"Albies,Ozzie",1,1
671739,L,Standard,Standard,"Bubic,Kris","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.0,1,0,"Harris,Michael",1,1
518595,R,Standard,Standard,"Bubic,Kris","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.0,1,0,"D'arnaud,Travis",1,1
570482,R,Standard,Standard,"Bubic,Kris","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.9,1,0,"Urshela,Gio",1,1
592669,R,Standard,Standard,"Jackson,Luke","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","White,Eli",0.0,1,0,"Renfroe,Hunter",1,1
669004,L,Infield shade,Standard,"Lee,Dylan","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","White,Eli",0.0,1,0,"Melendez,Mj",0,1
493329,R,Standard,Standard,"Lee,Dylan","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","White,Eli",0.0,1,0,"Gurriel,Yuli",1,1
669221,R,Standard,Standard,"Schreiber,John","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.0,1,0,"Murphy,Sean",1,1
657656,R,Standard,Standard,"Schreiber,John","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.0,1,0,"Laureano,Ramón",1,1
624585,R,Standard,Standard,"Zerpa,Angel","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.7,1,0,"Soler,Jorge",1,1
621566,L,Strategic,Standard,"Zerpa,Angel","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.9,1,0,"Olson,Matt",0,1
542303,R,Standard,Standard,"Zerpa,Angel","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.0,1,0,"Ozuna,Marcell",1,1
686681,L,Infield shade,Standard,"Lee,Dylan","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","Soler,Jorge",0.0,1,0,"Massey,Michael",0,1
677951,R,Standard,Standard,"Hernández,Daysbel","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","Soler,Jorge",0.0,1,0,"Witt,Bobby",1,1
502054,R,Standard,Standard,"Hernández,Daysbel","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","Soler,Jorge",0.0,1,0,"Pham,Tommy",1,1
606115,R,Standard,Standard,"Hernández,Carlos","Fermin,Freddy","Gurriel,Yuli","Massey,Michael","García,Maikel","Witt,Bobby","Melendez,Mj","Isbel,Kyle","Renfroe,Hunter",0.7,1,0,"Arcia,Orlando",1,1
664728,L,Infield shade,Standard,"Hernández,Daysbel","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","Soler,Jorge",0.0,1,0,"Isbel,Kyle",0,1
672580,R,Standard,Standard,"Hernández,Daysbel","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","Soler,Jorge",0.7,1,0,"García,Maikel",1,1
666023,R,Standard,Standard,"Hernández,Daysbel","Murphy,Sean","Olson,Matt","Albies,Ozzie","Urshela,Gio","Arcia,Orlando","Laureano,Ramón","Harris,Michael","Soler,Jorge",0.0,1,0,"Fermin,Freddy",1,1
680700,L,Infield shade,Standard,"Slaten,Justin","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.0,1,0,"Palacios,Richie",0,1
686482,L,Standard,Standard,"Slaten,Justin","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.0,1,0,"Driscoll,Logan",1,1
676609,R,Standard,Standard,"Slaten,Justin","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.0,1,0,"Caballero,José",1,1
666185,L,Infield shade,Standard,"Slaten,Justin","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.9,1,0,"Carlson,Dylan",0,1
686765,L,Infield shade,Standard,"Bigge,Hunter","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Sogard,Nick",0,1
677800,L,Standard,Standard,"Bigge,Hunter","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Abreu,Wilyer",1,1
657136,R,Infield shade,Standard,"Bigge,Hunter","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",1.25,1,1,"Wong,Connor",0,1
671213,L,Infield shade,Standard,"Bigge,Hunter","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Casas,Triston",0,1
676356,R,Standard,Standard,"Martin,Chris","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.0,1,0,"Deluca,Jonny",1,1
666139,L,Standard,Standard,"Martin,Chris","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.0,1,0,"Lowe,Josh",1,1
666624,R,Standard,Standard,"Martin,Chris","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.9,1,0,"Morel,Christopher",1,1
666018,L,Infield shade,Standard,"Martin,Chris","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.7,1,0,"Aranda,Jonathan",0,1
691406,R,Standard,Standard,"Martin,Chris","Wong,Connor","Casas,Triston","Grissom,Vaughn","Valdez,Enmanuel","Sogard,Nick","Duran,Jarren","Rafaela,Ceddanne","Abreu,Wilyer",0.0,1,0,"Caminero,Junior",1,1
687093,R,Standard,Standard,"Lovelady,Richard","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Grissom,Vaughn",1,1
680776,L,Standard,Standard,"Lovelady,Richard","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Duran,Jarren",1,1
665839,L,Standard,Standard,"Lovelady,Richard","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Valdez,Enmanuel",1,1
681508,R,Standard,Standard,"Montgomery,Mason","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Gasper,Mickey",1,1
678882,R,Standard,Standard,"Montgomery,Mason","Driscoll,Logan","Aranda,Jonathan","Palacios,Richie","Caminero,Junior","Caballero,José","Morel,Christopher","Deluca,Jonny","Lowe,Josh",0.0,1,0,"Rafaela,Ceddanne",1,1
683737,L,Infield shade,Standard,"Farmer,Buck","Stephenson,Tyler","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Dunn,Blake","Friedl,Tj","Fraley,Jake",0.0,1,0,"Busch,Michael",0,1
673548,R,Strategic,Standard,"Farmer,Buck","Stephenson,Tyler","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Dunn,Blake","Friedl,Tj","Fraley,Jake",0.7,1,0,"Suzuki,Seiya",0,1
663538,R,Standard,Standard,"Farmer,Buck","Stephenson,Tyler","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Dunn,Blake","Friedl,Tj","Fraley,Jake",0.0,1,0,"Hoerner,Nico",1,1
664023,L,Infield shade,Standard,"Farmer,Buck","Stephenson,Tyler","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Dunn,Blake","Friedl,Tj","Fraley,Jake",0.0,1,0,"Happ,Ian",0,1
670770,L,Infield shade,Standard,"Roberts,Ethan","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Tauchman,Mike",0.0,1,0,"Friedl,Tj",0,1
668715,R,Standard,Standard,"Roberts,Ethan","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Tauchman,Mike",0.0,1,0,"Steer,Spencer",1,1
663886,R,Strategic,Standard,"Roberts,Ethan","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Tauchman,Mike",0.9,1,0,"Stephenson,Tyler",0,1
682829,L,Strategic,Standard,"Roberts,Ethan","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Tauchman,Mike",1.6,1,2,"De la cruz,Elly",0,1
663697,R,Standard,Standard,"Roberts,Ethan","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Tauchman,Mike",0.7,1,0,"India,Jonathan",1,1
571912,R,Standard,Standard,"Roberts,Ethan","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Tauchman,Mike",0.9,1,0,"Maile,Luke",1,1
676679,R,Standard,Standard,"Santillan,Tony","Maile,Luke","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Steer,Spencer","Friedl,Tj","Fraley,Jake",0.0,1,0,"Vázquez,Luis",1,1
643565,L,Standard,Standard,"Santillan,Tony","Maile,Luke","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Steer,Spencer","Friedl,Tj","Fraley,Jake",0.0,1,0,"Tauchman,Mike",1,1
542194,R,Standard,Standard,"Santillan,Tony","Maile,Luke","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Steer,Spencer","Friedl,Tj","Fraley,Jake",0.0,1,0,"Bethancourt,Christian",1,1
682622,R,Standard,Standard,"Pearson,Nate","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Alcántara,Kevin",0.0,1,0,"Marte,Noelvi",1,1
641584,L,Standard,Standard,"Pearson,Nate","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Alcántara,Kevin",0.9,1,0,"Fraley,Jake",1,1
664034,R,Standard,Standard,"Pearson,Nate","Bethancourt,Christian","Busch,Michael","Hoerner,Nico","Paredes,Isaac","Vázquez,Luis","Happ,Ian","Crow-armstrong,Pete","Alcántara,Kevin",0.0,1,0,"France,Ty",1,1
691718,L,Infield shade,Standard,"Gibaut,Ian","Maile,Luke","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Steer,Spencer","Friedl,Tj","Fraley,Jake",0.0,1,0,"Crow-armstrong,Pete",0,1
670623,R,Standard,Standard,"Gibaut,Ian","Maile,Luke","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Steer,Spencer","Friedl,Tj","Fraley,Jake",0.0,1,0,"Paredes,Isaac",1,1
682634,R,Strategic,Standard,"Suter,Brent","Maile,Luke","France,Ty","India,Jonathan","Marte,Noelvi","De la cruz,Elly","Steer,Spencer","Friedl,Tj","Fraley,Jake",0.0,1,0,"Alcántara,Kevin",0,1
668845,R,Standard,Standard,"Henriquez,Edgardo","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Schunk,Aaron",1,1
595909,L,Infield shade,Strategic,"Henriquez,Edgardo","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Cave,Jake",0,0
656541,L,Infield shade,Standard,"Henriquez,Edgardo","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.7,1,0,"Hilliard,Sam",0,1
666134,L,Infield shade,Standard,"Henriquez,Edgardo","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Jones,Nolan",0,1
571771,R,Strategic,Standard,"Halvorsen,Seth","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.0,1,0,"Hernández,Enrique",0,1
669242,L,Standard,Standard,"Halvorsen,Seth","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.0,1,0,"Edman,Tommy",1,1
571970,L,Infield shade,Standard,"Halvorsen,Seth","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.0,1,0,"Muncy,Max",0,1
669911,L,Infield shade,Standard,"Kopech,Michael","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Toglia,Michael",0,1
641857,L,Infield shade,Standard,"Kopech,Michael","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Mcmahon,Ryan",0,1
678662,R,Standard,Standard,"Kopech,Michael","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Tovar,Ezequiel",1,1
606192,R,Strategic,Standard,"Halvorsen,Seth","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.0,1,0,"Hernández,Teoscar",0,1
681546,L,Strategic,Standard,"Halvorsen,Seth","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.0,1,0,"Outman,James",0,1
660271,L,Infield shade,Strategic,"Vodnik,Victor","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.9,1,0,"Ohtani,Shohei",0,0
605131,R,Strategic,Standard,"Vodnik,Victor","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.9,1,0,"Barnes,Austin",0,1
681624,R,Strategic,Standard,"Vodnik,Victor","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.0,1,0,"Pages,Andy",0,1
621035,R,Strategic,Standard,"Vodnik,Victor","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",2.0,1,3,"Taylor,Chris",0,1
687597,R,Strategic,Standard,"Phillips,Evan","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Beck,Jordan",0,1
691011,L,Strategic,Standard,"Phillips,Evan","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Outman,James","Pages,Andy",0.0,1,0,"Romo,Drew",0,1
605141,R,Strategic,Standard,"Feltner,Ryan","Romo,Drew","Toglia,Michael","Schunk,Aaron","Mcmahon,Ryan","Tovar,Ezequiel","Beck,Jordan","Hilliard,Sam","Cave,Jake",0.0,1,0,"Betts,Mookie",0,1
453568,L,Infield shade,Standard,"Knack,Landon","Barnes,Austin","Hernández,Enrique","Taylor,Chris","Muncy,Max","Edman,Tommy","Hernández,Teoscar","Pages,Andy","Betts,Mookie",0.9,1,0,"Blackmon,Charlie",0,1
681481,L,Standard,Standard,"De los santos,Enyel","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.0,1,0,"Carpenter,Kerry",1,1
678009,L,Standard,Standard,"De los santos,Enyel","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.9,1,0,"Meadows,Parker",1,1
656716,L,Standard,Standard,"De los santos,Enyel","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.0,1,0,"Mckinstry,Zach",1,1
676070,R,Standard,Strategic,"Montero,Keider","Rogers,Jake","Torkelson,Spencer","Jung,Jace","Vierling,Matt","Sweeney,Trey","Greene,Riley","Meadows,Parker","Pérez,Wenceel",0.0,1,0,"Amaya,Jacob",1,0
666150,L,Infield shade,Standard,"Montero,Keider","Rogers,Jake","Torkelson,Spencer","Jung,Jace","Vierling,Matt","Sweeney,Trey","Greene,Riley","Meadows,Parker","Pérez,Wenceel",0.0,1,0,"Fletcher,Dominic",0,1
686676,R,Standard,Standard,"Montero,Keider","Rogers,Jake","Torkelson,Spencer","Jung,Jace","Vierling,Matt","Sweeney,Trey","Greene,Riley","Meadows,Parker","Pérez,Wenceel",0.0,1,0,"Lee,Korey",1,1
700242,L,Infield shade,Standard,"De los santos,Enyel","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.0,1,0,"Sweeney,Trey",0,1
679529,R,Standard,Standard,"Berroa,Prelander","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.7,1,0,"Torkelson,Spencer",1,1
690291,L,Standard,Standard,"Berroa,Prelander","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.7,1,0,"Jung,Jace",1,1
672761,L,Standard,Standard,"Berroa,Prelander","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.9,1,0,"Pérez,Wenceel",1,1
682985,L,Standard,Standard,"Berroa,Prelander","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.0,1,0,"Greene,Riley",1,1
663837,R,Standard,Standard,"Berroa,Prelander","Lee,Korey","Vaughn,Andrew","Sosa,Lenyn","Vargas,Miguel","Amaya,Jacob","Deloach,Zach","Robert,Luis","Fletcher,Dominic",0.7,1,0,"Vierling,Matt",1,1
682868,R,Standard,Standard,"Montero,Keider","Rogers,Jake","Torkelson,Spencer","Ibáñez,Andy","Vierling,Matt","Sweeney,Trey","Greene,Riley","Meadows,Parker","Pérez,Wenceel",0.0,1,0,"Ramos,Bryan",1,1
672820,R,Standard,Standard,"Montero,Keider","Rogers,Jake","Torkelson,Spencer","Ibáñez,Andy","Vierling,Matt","Sweeney,Trey","Greene,Riley","Meadows,Parker","Pérez,Wenceel",0.9,1,0,"Sosa,Lenyn",1,1
683734,R,Standard,Standard,"Montero,Keider","Rogers,Jake","Torkelson,Spencer","Ibáñez,Andy","Vierling,Matt","Sweeney,Trey","Greene,Riley","Meadows,Parker","Pérez,Wenceel",0.9,1,0,"Vaughn,Andrew",1,1
676113,L,Infield shade,Standard,"Montero,Keider","Rogers,Jake","Torkelson,Spencer","Ibáñez,Andy","Vierling,Matt","Sweeney,Trey","Greene,Riley","Meadows,Parker","Pérez,Wenceel",0.0,1,0,"Deloach,Zach",0,1
